,城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,价格（单位：人民币）,别墅类型
22,沈阳,https://sy.lianjia.com/ershoufang/102106224242.html,3室1厅1厨2卫,中楼层 (共11层),125.67㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-22,商品房,2020-10-22,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片,1100000.0,
23,沈阳,https://sy.lianjia.com/ershoufang/102106244464.html,2室2厅1厨1卫,低楼层 (共17层),89.18㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-12-05,商品房,2019-07-31,普通住宅,暂无数据,共有,"
                                有抵押 28万元
                              ",已上传房本照片,530000.0,
24,沈阳,https://sy.lianjia.com/ershoufang/102106250194.html,3室2厅1厨1卫,高楼层 (共24层),132.73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,集中供暖,有,2022-12-08,商品房,2009-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,1500000.0,
25,沈阳,https://sy.lianjia.com/ershoufang/102106245145.html,3室1厅1厨2卫,中楼层 (共5层),148.85㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,集中供暖,有,2022-12-06,商品房,2018-12-06,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,1218000.0,
26,沈阳,https://sy.lianjia.com/ershoufang/102106252398.html,3室2厅1厨2卫,低楼层 (共17层),129.32㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-12-09,商品房,2022-06-15,普通住宅,未满两年,非共有,"
                                有抵押 100万元 盛京银行 客户偿还
                              ",已上传房本照片,2400000.0,
27,沈阳,https://sy.lianjia.com/ershoufang/102106245620.html,5室2厅1厨3卫,低楼层 (共33层),113㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,1680000.0,
28,沈阳,https://sy.lianjia.com/ershoufang/102105372210.html,5室2厅1厨3卫,低楼层 (共3层),311.48㎡,,暂无数据,,南 北,钢混结构,精装,,集中供暖,,2022-03-03,商品房,2018-12-10,别墅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,2550000.0,联排
29,沈阳,https://sy.lianjia.com/ershoufang/102105496782.html,3室1厅1厨2卫,高楼层 (共34层),109.44㎡,平层,83.6㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-04-27,商品房,2019-06-19,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,2050000.0,
30,沈阳,https://sy.lianjia.com/ershoufang/102103373653.html,6室2厅1厨2卫,中楼层 (共18层),309.16㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2020-09-13,商品房,2017-07-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2800000.0,
31,沈阳,https://sy.lianjia.com/ershoufang/102105574605.html,4室2厅1厨2卫,低楼层 (共33层),174.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-05-20,商品房,2015-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,850000.0,
32,沈阳,https://sy.lianjia.com/ershoufang/102105857440.html,5室2厅1厨4卫,中楼层 (共37层),332.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-01,商品房,2016-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,5200000.0,
33,沈阳,https://sy.lianjia.com/ershoufang/102104831324.html,4室2厅1厨2卫,高楼层 (共33层),170.11㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-09-03,商品房,2013-11-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,2850000.0,
34,沈阳,https://sy.lianjia.com/ershoufang/102105842791.html,4室1厅1厨2卫,低楼层 (共33层),172.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-07-28,商品房,2017-06-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,899000.0,
35,沈阳,https://sy.lianjia.com/ershoufang/102105477213.html,5室2厅1厨4卫,低楼层 (共3层),340.95㎡,,320㎡,,南 北,钢混结构,精装,,集中供暖,,2022-04-18,商品房,2015-08-31,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,3010000.0,联排
36,沈阳,https://sy.lianjia.com/ershoufang/102103043838.html,6室2厅1厨2卫,高楼层 (共5层),213.26㎡,跃层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,2020-07-07,商品房,2018-07-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,990000.0,
37,沈阳,https://sy.lianjia.com/ershoufang/102105959567.html,5室3厅1厨4卫,低楼层 (共3层),344.38㎡,,暂无数据,,东 南 西 北,钢混结构,简装,,集中供暖,,2022-08-29,商品房,2012-11-27,别墅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2200000.0,联排
38,沈阳,https://sy.lianjia.com/ershoufang/102105862729.html,3室2厅1厨2卫,中楼层 (共9层),131.66㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-08-03,商品房,2016-09-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,2600000.0,
39,沈阳,https://sy.lianjia.com/ershoufang/102106061365.html,3室2厅1厨2卫,高楼层 (共33层),125.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-09-30,商品房,2020-08-07,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片,2540000.0,
40,沈阳,https://sy.lianjia.com/ershoufang/102105125835.html,4室2厅1厨2卫,中楼层 (共7层),159.86㎡,平层,137.66㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-11-27,商品房,2017-08-31,普通住宅,满五年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,2520000.0,
41,沈阳,https://sy.lianjia.com/ershoufang/102105926985.html,3室2厅1厨2卫,中楼层 (共16层),133.53㎡,错层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-08-20,商品房,2011-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,1130000.0,
42,沈阳,https://sy.lianjia.com/ershoufang/102103859074.html,4室4厅1厨2卫,高楼层 (共18层),323.61㎡,跃层,323.61㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-01-26,商品房,2015-08-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,4800000.0,
43,沈阳,https://sy.lianjia.com/ershoufang/102103807759.html,3室1厅1厨1卫,高楼层 (共6层),165.02㎡,跃层,暂无数据,板楼,南,钢混结构,简装,一梯两户,集中供暖,无,2021-01-04,商品房,2019-04-23,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,750000.0,
44,沈阳,https://sy.lianjia.com/ershoufang/102106001540.html,5室2厅2厨3卫,低楼层 (共3层),348.68㎡,,341㎡,,南 北,钢混结构,毛坯,,集中供暖,,2022-09-13,商品房,2019-06-04,别墅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,2300000.0,联排
45,沈阳,https://sy.lianjia.com/ershoufang/102105558113.html,6室4厅2厨5卫,低楼层 (共3层),182.94㎡,,暂无数据,,南 北,钢混结构,精装,,集中供暖,,2022-05-16,商品房,2017-06-20,别墅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,6250000.0,暂无数据
46,沈阳,https://sy.lianjia.com/ershoufang/102106060598.html,4室2厅1厨2卫,高楼层 (共17层),139.65㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,有,2022-09-29,商品房,2019-10-10,普通住宅,暂无数据,共有,"
                                有抵押 145万元
                              ",已上传房本照片,3050000.0,
47,沈阳,https://sy.lianjia.com/ershoufang/102106251280.html,3室2厅1厨1卫,中楼层 (共27层),86.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-12-09,商品房,2020-12-01,普通住宅,暂无数据,非共有,"
                                有抵押 18万元 农业银行 客户偿还
                              ",已上传房本照片,450000.0,
48,沈阳,https://sy.lianjia.com/ershoufang/102106246631.html,2室1厅1厨1卫,中楼层 (共11层),56.14㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-12-06,商品房,2016-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,476000.0,
49,沈阳,https://sy.lianjia.com/ershoufang/102106256628.html,2室1厅1厨1卫,中楼层 (共18层),86.24㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-12-12,商品房,2016-09-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,627000.0,
50,沈阳,https://sy.lianjia.com/ershoufang/102106243402.html,1室1厅1厨1卫,中楼层 (共6层),53.91㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,暂无数据,2022-12-05,商品房,2009-11-06,普通住宅,满五年,非共有,"
                                有抵押 4万元 业主自还
                              ",已上传房本照片,386000.0,
51,沈阳,https://sy.lianjia.com/ershoufang/102106243144.html,3室1厅1厨1卫,低楼层 (共33层),98.23㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-12-05,商品房,2019-12-05,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 建设
                              ",已上传房本照片,820000.0,
52,沈阳,https://sy.lianjia.com/ershoufang/102106245200.html,2室1厅1厨1卫,高楼层 (共28层),94.66㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,两梯三户,集中供暖,有,2022-12-06,商品房,2017-12-08,普通住宅,满五年,非共有,"
                                有抵押 60万元 中国建设银行  金融公司垫资
                              ",已上传房本照片,980000.0,
53,沈阳,https://sy.lianjia.com/ershoufang/102106240685.html,5室2厅1厨2卫,高楼层 (共4层),182.26㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-12-03,商品房,2008-01-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,3250000.0,
54,沈阳,https://sy.lianjia.com/ershoufang/102106229517.html,4室2厅1厨2卫,中楼层 (共33层),157.37㎡,平层,124.44㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-25,商品房,2019-01-08,普通住宅,暂无数据,共有,"
                                有抵押 80万元
                              ",已上传房本照片,2880000.0,
55,沈阳,https://sy.lianjia.com/ershoufang/102106244702.html,3室2厅1厨1卫,中楼层 (共34层),116.39㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,2022-12-05,商品房,2015-04-02,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,1580000.0,
56,沈阳,https://sy.lianjia.com/ershoufang/102106251553.html,2室1厅1厨1卫,中楼层 (共33层),74.45㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,2022-12-09,商品房,2013-12-11,普通住宅,满五年,共有,"
                                有抵押 4万元
                              ",已上传房本照片,510000.0,
57,沈阳,https://sy.lianjia.com/ershoufang/102106247913.html,2室2厅1厨1卫,中楼层 (共18层),83.97㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯三户,集中供暖,有,2022-12-07,商品房,2020-09-22,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 建设银行 客户偿还
                              ",已上传房本照片,700000.0,
58,沈阳,https://sy.lianjia.com/ershoufang/102106245581.html,3室2厅1厨1卫,中楼层 (共29层),118.15㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-12-06,商品房,2017-09-14,普通住宅,满五年,非共有,"
                                有抵押 20万元 吉林银行 业主自还
                              ",已上传房本照片,1160000.0,
59,沈阳,https://sy.lianjia.com/ershoufang/102106253082.html,4室2厅1厨2卫,高楼层 (共33层),144.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-12-10,商品房,2020-07-27,普通住宅,暂无数据,共有,"
                                有抵押 45万元 大连银行 客户偿还
                              ",已上传房本照片,1500000.0,
60,沈阳,https://sy.lianjia.com/ershoufang/102106257351.html,3室2厅1厨2卫,中楼层 (共34层),127㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-12-12,商品房,2009-12-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,1750000.0,
61,沈阳,https://sy.lianjia.com/ershoufang/102106220110.html,3室1厅1厨1卫,高楼层 (共27层),95.63㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-21,商品房,2017-08-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,920000.0,
62,沈阳,https://sy.lianjia.com/ershoufang/102106225081.html,3室1厅1厨2卫,低楼层 (共30层),160.56㎡,平层,暂无数据,板楼,南 西 北,钢混结构,精装,两梯六户,集中供暖,有,2022-11-23,商品房,2020-09-14,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,1395000.0,
63,沈阳,https://sy.lianjia.com/ershoufang/102106224089.html,2室2厅1厨1卫,中楼层 (共34层),87.64㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-22,商品房,2020-11-09,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,950000.0,
64,沈阳,https://sy.lianjia.com/ershoufang/102106222182.html,3室2厅1厨1卫,低楼层 (共22层),126.02㎡,平层,暂无数据,板楼,南 北,框架结构,其他,一梯三户,集中供暖,暂无数据,2022-11-21,商品房,2019-03-07,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,870000.0,
65,沈阳,https://sy.lianjia.com/ershoufang/102106227689.html,3室2厅1厨1卫,中楼层 (共19层),123.56㎡,平层,暂无数据,板楼,西南,框架结构,其他,一梯五户,集中供暖,有,2022-11-24,商品房,2009-01-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,970000.0,
66,沈阳,https://sy.lianjia.com/ershoufang/102106220219.html,2室2厅1厨1卫,高楼层 (共7层),177.75㎡,跃层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,2022-11-21,商品房,2022-09-15,普通住宅,未满两年,非共有,"
                                有抵押 40万元 浙商银行
                              ",已上传房本照片,650000.0,
67,沈阳,https://sy.lianjia.com/ershoufang/102105606195.html,5室2厅1厨4卫,中楼层 (共37层),330.73㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2022-05-28,商品房,2019-03-20,普通住宅,暂无数据,共有,"
                                有抵押 200万元 客户偿还
                              ",已上传房本照片,5100000.0,
68,沈阳,https://sy.lianjia.com/ershoufang/102105461631.html,3室2厅1厨3卫,低楼层 (共31层),175.57㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2022-04-11,商品房,2016-05-12,普通住宅,满五年,非共有,"
                                有抵押 250万元 业主自还
                              ",已上传房本照片,3350000.0,
69,沈阳,https://sy.lianjia.com/ershoufang/102105547559.html,4室2厅1厨3卫,低楼层 (共32层),252.93㎡,平层,暂无数据,板塔结合,东南 北 南,钢混结构,精装,两梯两户,集中供暖,有,2022-05-13,商品房,2009-10-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,4660000.0,
70,沈阳,https://sy.lianjia.com/ershoufang/102105258712.html,3室2厅1厨2卫,高楼层 (共34层),113.91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-01-27,商品房,2019-08-15,普通住宅,暂无数据,共有,"
                                有抵押 10万元
                              ",已上传房本照片,2650000.0,
71,沈阳,https://sy.lianjia.com/ershoufang/102104870196.html,3室2厅1厨2卫,中楼层 (共7层),141.17㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-09-12,商品房,2018-06-14,普通住宅,暂无数据,非共有,"
                                有抵押 110万元 业主自还
                              ",已上传房本照片,3980000.0,
72,沈阳,https://sy.lianjia.com/ershoufang/102106210178.html,2室1厅1厨1卫,低楼层 (共23层),99.21㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-11-17,商品房,2020-08-07,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,760000.0,
73,沈阳,https://sy.lianjia.com/ershoufang/102106239349.html,2室1厅1厨1卫,中楼层 (共26层),79.92㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-12-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 客户偿还
                              ",未上传房本照片,780000.0,
74,沈阳,https://sy.lianjia.com/ershoufang/102106220167.html,2室1厅1厨1卫,中楼层 (共33层),87.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-21,商品房,2020-11-03,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片,645000.0,
75,沈阳,https://sy.lianjia.com/ershoufang/102106234517.html,1室1厅1厨1卫,低楼层 (共33层),72.08㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,一梯八户,集中供暖,有,2022-11-29,商品房,2018-07-06,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,310000.0,
76,沈阳,https://sy.lianjia.com/ershoufang/102106233141.html,2室1厅1厨1卫,中楼层 (共7层),68.26㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,集中供暖,无,2022-11-28,商品房,2012-01-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,390000.0,
77,沈阳,https://sy.lianjia.com/ershoufang/102106224918.html,2室1厅1厨1卫,高楼层 (共6层),67.69㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,集中供暖,无,2022-11-23,商品房,2019-11-24,普通住宅,暂无数据,非共有,"
                                有抵押 32万元
                              ",已上传房本照片,360000.0,
78,沈阳,https://sy.lianjia.com/ershoufang/102106237059.html,2室1厅1厨1卫,高楼层 (共12层),86.89㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯一户,暂无数据,暂无数据,2022-12-01,商品房,2020-12-10,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,500000.0,
79,沈阳,https://sy.lianjia.com/ershoufang/102106232860.html,1室1厅1厨1卫,高楼层 (共31层),44.55㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-27,商品房,2020-01-31,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,470000.0,
80,沈阳,https://sy.lianjia.com/ershoufang/102106237329.html,1室1厅1厨1卫,中楼层 (共29层),65.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-12-01,商品房,2018-09-30,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,430000.0,
81,沈阳,https://sy.lianjia.com/ershoufang/102106222719.html,2室1厅1厨1卫,高楼层 (共16层),68.11㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯三户,集中供暖,有,2022-11-22,商品房,2010-11-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,630000.0,
